test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Measure U V Resistance,10,3708650413.287562,5.087598,6.889711,35.052076,0.000000,0.000000,0.000000,-0.687661,5.717198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-55.057672,-55.550161,-58.453320,-29.341249,-30.316839,-31.031685,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.492489,3.395648,2.903159
Preparing to measure resistance between U and W,11,3708650423.356880,4.561217,3.748985,17.099933,0.000000,0.000000,0.000000,-2.855557,-4.077884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.769870,46.860826,44.169033,22.144457,20.107051,16.408988,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.909044,7.600837,2.691794
Disconnect all LCR Relays,12,3708650423.356880,4.561217,3.748985,17.099933,0.000000,0.000000,0.000000,-2.855557,-4.077884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.769870,46.860826,44.169033,22.144457,20.107051,16.408988,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.909044,7.600837,2.691794
Wait 2 seconds for relays to settle,13,3708650426.392116,6.803221,6.360216,43.269954,0.000000,0.000000,0.000000,-1.102697,-3.737946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-53.779825,-49.116450,-47.309571,-22.250430,-20.529968,-20.205175,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.663375,-6.470254,-1.806879
Connect LCR to U and W,14,3708650426.392116,6.803221,6.360216,43.269954,0.000000,0.000000,0.000000,-1.102697,-3.737946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-53.779825,-49.116450,-47.309571,-22.250430,-20.529968,-20.205175,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.663375,-6.470254,-1.806879
Wait 2 seconds for relays to settle,15,3708650429.440732,5.116375,2.670977,13.665721,0.000000,0.000000,0.000000,-1.324475,-3.058351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.018167,51.068962,51.215125,24.642409,22.444346,22.222703,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.949205,4.803043,-0.146163
Tare the LCR Meter,16,3708650429.440732,5.116375,2.670977,13.665721,0.000000,0.000000,0.000000,-1.324475,-3.058351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.018167,51.068962,51.215125,24.642409,22.444346,22.222703,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.949205,4.803043,-0.146163
Measure U W Resistance,17,3708650430.460757,6.836847,8.071181,55.181434,0.000000,0.000000,0.000000,3.745824,4.202534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.135351,7.602976,0.376711,-1.905706,-3.610127,-7.207327,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.532376,11.758641,7.226265
Preparing to measure resistance between V and W,18,3708650440.623910,2.432701,0.166758,0.405673,0.000000,0.000000,0.000000,5.616444,9.671012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.812589,42.860465,47.257286,24.937534,27.572581,28.266793,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.047877,-7.444697,-4.396820
Disconnect all LCR Relays,19,3708650440.623910,2.432701,0.166758,0.405673,0.000000,0.000000,0.000000,5.616444,9.671012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.812589,42.860465,47.257286,24.937534,27.572581,28.266793,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.047877,-7.444697,-4.396820
Wait 2 seconds for relays to settle,20,3708650443.578307,5.127876,0.963307,4.939716,0.000000,0.000000,0.000000,10.975978,11.949857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.782484,-34.803281,-40.418332,-21.953100,-24.294449,-25.961226,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.020797,8.635848,5.615051
Connect LCR to V and W,21,3708650443.678087,9.241164,6.973471,64.442985,0.000000,0.000000,0.000000,6.609653,8.607947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-34.821713,-37.466371,-43.781243,-24.021195,-25.289015,-27.271824,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.644658,8.959530,6.314872
Wait 2 seconds for relays to settle,22,3708650446.622717,8.612371,5.283704,45.505219,0.000000,0.000000,0.000000,8.399381,6.652332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.123332,29.436867,34.820883,19.315650,20.981253,22.758310,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.313535,-10.697551,-5.384016
Tare the LCR Meter,23,3708650446.622717,8.612371,5.283704,45.505219,0.000000,0.000000,0.000000,8.399381,6.652332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.123332,29.436867,34.820883,19.315650,20.981253,22.758310,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.313535,-10.697551,-5.384016
Measure V W Resistance,24,3708650447.644571,8.137174,3.008736,24.482610,0.000000,0.000000,0.000000,0.669388,-2.604130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.437843,56.310385,56.690379,28.369231,28.756348,27.334330,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.127458,0.747464,-0.379994
Preparing to measure phase inductance,25,3708650457.807464,1.695714,7.326402,12.423480,0.000000,0.000000,0.000000,-6.589725,-4.420362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-39.179423,-34.772188,-30.779766,-13.021712,-11.684687,-8.487441,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.407234,-8.399656,-3.992422
Set LCR to measure inductance,26,3708650457.807464,1.695714,7.326402,12.423480,0.000000,0.000000,0.000000,-6.589725,-4.420362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-39.179423,-34.772188,-30.779766,-13.021712,-11.684687,-8.487441,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.407234,-8.399656,-3.992422
Preparing to measure inductance between U and V,27,3708650467.919934,9.022655,5.426619,48.962516,0.000000,0.000000,0.000000,-2.190414,-1.084276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.390582,-9.673133,-17.122823,-11.678939,-13.038580,-15.467611,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.282552,10.732241,7.449689
Disconnect all LCR Relays,28,3708650467.919934,9.022655,5.426619,48.962516,0.000000,0.000000,0.000000,-2.190414,-1.084276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.390582,-9.673133,-17.122823,-11.678939,-13.038580,-15.467611,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.282552,10.732241,7.449689
Wait 2 seconds for relays to settle,29,3708650470.962492,5.851736,8.422826,49.288153,0.000000,0.000000,0.000000,0.305226,-0.466655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.764421,5.696411,9.998603,7.652712,10.947087,12.952757,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.931991,-7.234183,-4.302192
Connect LCR to U and V,30,3708650470.962492,5.851736,8.422826,49.288153,0.000000,0.000000,0.000000,0.305226,-0.466655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.764421,5.696411,9.998603,7.652712,10.947087,12.952757,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.931991,-7.234183,-4.302192
Wait 2 seconds for relays to settle,31,3708650473.906762,4.414747,0.739684,3.265520,0.000000,0.000000,0.000000,-0.569272,-6.049312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.004353,5.705417,1.061583,-3.495898,-6.146990,-7.400338,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.298937,9.942771,4.643834
Tare the LCR Meter,32,3708650474.006748,2.891317,2.681305,7.752501,0.000000,0.000000,0.000000,-5.759682,-2.548276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.924300,-0.461412,-5.832324,-6.279640,-8.643758,-11.520345,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.385712,10.756624,5.370913
Measure U V Inductance,33,3708650474.919735,8.205840,9.494152,77.907486,0.000000,0.000000,0.000000,8.422679,7.159711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-46.308356,-49.700671,-53.674596,-29.023899,-30.055003,-29.633636,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.392315,7.366240,3.973925
Preparing to measure inductance between U and W,34,3708650485.081901,7.019550,3.014835,21.162785,0.000000,0.000000,0.000000,10.230670,4.328448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.081481,55.330478,54.330285,27.704360,25.419483,23.571414,0.903904,3.830402,50.068784,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.751003,2.751196,1.000192
Disconnect all LCR Relays,35,3708650485.081901,7.019550,3.014835,21.162785,0.000000,0.000000,0.000000,10.230670,4.328448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.081481,55.330478,54.330285,27.704360,25.419483,23.571414,0.903904,3.830402,50.068784,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.751003,2.751196,1.000192
Wait 2 seconds for relays to settle,36,3708650488.124324,3.388335,7.153843,24.239619,0.000000,0.000000,0.000000,14.491384,5.957275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.619597,-56.039160,-54.513062,-27.414301,-27.437949,-25.327144,0.723301,3.557196,67.758450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.580436,-3.106535,-1.526098
Connect LCR to U and W,37,3708650488.124324,3.388335,7.153843,24.239619,0.000000,0.000000,0.000000,14.491384,5.957275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.619597,-56.039160,-54.513062,-27.414301,-27.437949,-25.327144,0.723301,3.557196,67.758450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.580436,-3.106535,-1.526098
Wait 2 seconds for relays to settle,38,3708650491.076678,5.272223,8.049059,42.436438,0.000000,0.000000,0.000000,11.899205,9.989432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.901735,56.349674,56.435383,28.205694,27.802666,26.382280,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.552061,2.466352,-0.085709
Tare the LCR Meter,39,3708650491.179284,7.309567,9.422377,68.873499,0.000000,0.000000,0.000000,11.719147,9.316336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.061811,57.965509,56.308175,27.411507,26.559075,26.106221,0.672856,3.545394,37.312951,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096302,1.753636,1.657333
Measure U W Inductance,40,3708650492.189371,5.732531,9.096845,52.147944,0.000000,0.000000,0.000000,-2.306343,0.621732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.369744,18.134023,15.053667,4.743025,2.282273,-0.840906,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.235721,9.316078,3.080356
Preparing to measure inductance between V and W,41,3708650502.240554,5.643812,2.700114,15.238935,0.000000,0.000000,0.000000,-3.794078,-4.269804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.257126,23.440527,29.722833,16.896804,19.243279,20.401818,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.183401,-11.465708,-6.282306
Disconnect all LCR Relays,42,3708650502.240554,5.643812,2.700114,15.238935,0.000000,0.000000,0.000000,-3.794078,-4.269804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.257126,23.440527,29.722833,16.896804,19.243279,20.401818,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.183401,-11.465708,-6.282306
Wait 2 seconds for relays to settle,43,3708650505.305760,6.205496,2.550753,15.828684,0.000000,0.000000,0.000000,-11.484475,-1.578851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-12.541388,-16.983713,-23.368737,-15.264046,-17.567423,-19.109816,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.442325,10.827349,6.385024
Connect LCR to V and W,44,3708650505.305760,6.205496,2.550753,15.828684,0.000000,0.000000,0.000000,-11.484475,-1.578851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-12.541388,-16.983713,-23.368737,-15.264046,-17.567423,-19.109816,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.442325,10.827349,6.385024
Wait 2 seconds for relays to settle,45,3708650508.241813,3.129750,3.499808,10.953524,0.000000,0.000000,0.000000,-3.497357,-1.454467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.153409,13.859282,20.044378,12.906463,14.803355,17.000382,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.705873,-12.890969,-6.185096
Tare the LCR Meter,46,3708650508.343389,9.324273,3.089941,28.811452,0.000000,0.000000,0.000000,-2.049423,-3.943223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.509358,19.798709,22.923883,13.833483,16.204652,19.636111,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.289351,-9.414526,-3.125174
Measure V W Inductance,47,3708650509.364283,5.934666,7.845925,46.562944,0.000000,0.000000,0.000000,10.647305,5.944725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.425349,57.393919,58.496293,29.532874,29.629724,30.673107,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.968570,-3.070944,-1.102374
Preparing to measure Back EMF,48,3708650519.436121,4.224957,3.321151,14.031721,0.000000,0.000000,0.000000,4.246468,4.373222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-53.685575,-48.615993,-48.957198,-22.362308,-21.809177,-19.863171,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.069583,-4.728377,0.341206
Apply 12.5VDC setpoint to Power Supply,49,3708650519.436121,4.224957,3.321151,14.031721,0.000000,0.000000,0.000000,4.246468,4.373222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-53.685575,-48.615993,-48.957198,-22.362308,-21.809177,-19.863171,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.069583,-4.728377,0.341206
Apply 5A limit to Power Supply,50,3708650519.436121,4.224957,3.321151,14.031721,0.000000,0.000000,0.000000,4.246468,4.373222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-53.685575,-48.615993,-48.957198,-22.362308,-21.809177,-19.863171,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.069583,-4.728377,0.341206
Set Power Supply Output Enabled,51,3708650519.436121,4.224957,3.321151,14.031721,0.000000,0.000000,0.000000,4.246468,4.373222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-53.685575,-48.615993,-48.957198,-22.362308,-21.809177,-19.863171,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.069583,-4.728377,0.341206
Set PWM Duty Cycle to 10%,52,3708650519.436121,4.224957,3.321151,14.031721,0.000000,0.000000,0.000000,4.246468,4.373222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-53.685575,-48.615993,-48.957198,-22.362308,-21.809177,-19.863171,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.069583,-4.728377,0.341206
Dwell at 10% Duty Cycle,53,3708650520.452445,8.628276,0.516982,4.460660,12.500000,5.000000,1.000000,9.757002,6.692980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.405050,0.328717,3.598373,4.234262,7.440825,9.958879,0.000000,0.000000,Inf,10.000000,10.000000,25.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.733767,-11.003423,-3.269656
Set PWM Duty Cycle to 20%,54,3708650520.452445,8.628276,0.516982,4.460660,12.500000,5.000000,1.000000,9.757002,6.692980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.405050,0.328717,3.598373,4.234262,7.440825,9.958879,0.000000,0.000000,Inf,10.000000,10.000000,25.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.733767,-11.003423,-3.269656
Dwell at 20% Duty Cycle,55,3708650521.470142,6.647008,6.192043,41.158561,12.500000,5.000000,1.000000,7.601614,12.239497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.322467,50.401428,53.519500,28.444128,29.903600,30.315990,0.000000,0.000000,Inf,20.000000,10.000000,25.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.078962,-6.197033,-3.118072
Set PWM Duty Cycle to 30%,56,3708650521.470142,6.647008,6.192043,41.158561,12.500000,5.000000,1.000000,7.601614,12.239497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.322467,50.401428,53.519500,28.444128,29.903600,30.315990,0.000000,0.000000,Inf,20.000000,10.000000,25.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.078962,-6.197033,-3.118072
Dwell at 30% Duty Cycle,57,3708650522.487093,7.467368,2.241090,16.735042,12.500000,5.000000,1.000000,7.197421,11.569853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.062874,50.413895,47.252465,22.456770,20.780606,19.798802,0.000000,0.000000,Inf,30.000000,10.000000,25.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.648978,5.810409,3.161431
