test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Disconnect all LCR Relays,19,3708652364.894979,2.785068,1.131493,3.151286,0.000000,0.000000,0.000000,-0.738011,6.359738,0.230972,-0.738011,0.000000,8.015271,0.000000,0.000000,-14.272385,-11.368490,-6.324485,-0.393964,3.163856,4.405067,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,8.015271,8.015271,0.000000,0.968983,0.230972,-0.738011,-2.903896,-7.947901,-5.044005
Wait 2 seconds for relays to settle,20,3708652367.902059,0.672545,5.094848,3.426512,0.000000,0.000000,0.000000,6.750754,1.069519,0.230972,6.750754,0.000000,8.015271,0.000000,0.000000,20.433484,16.684893,9.779349,4.081343,0.657313,-2.067216,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,-6.519782,0.230972,6.750754,3.748591,10.654135,6.905544
Connect LCR to V and W,21,3708652367.902059,0.672545,5.094848,3.426512,0.000000,0.000000,0.000000,6.750754,1.069519,0.230972,6.750754,0.000000,8.015271,0.000000,0.000000,20.433484,16.684893,9.779349,4.081343,0.657313,-2.067216,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,-6.519782,0.230972,6.750754,3.748591,10.654135,6.905544
Wait 2 seconds for relays to settle,22,3708652370.919597,7.643436,3.923542,29.989344,0.000000,0.000000,0.000000,0.002838,-1.219390,0.230972,6.750754,0.002838,8.015271,0.000000,0.000000,-26.889004,-21.786019,-15.348495,-5.219009,-3.179558,-0.687752,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-6.519782,0.228134,6.747916,-5.102985,-11.540509,-6.437524
Tare the LCR Meter,23,3708652370.919597,7.643436,3.923542,29.989344,0.000000,0.000000,0.000000,0.002838,-1.219390,0.230972,6.750754,0.002838,8.015271,0.000000,0.000000,-26.889004,-21.786019,-15.348495,-5.219009,-3.179558,-0.687752,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-6.519782,0.228134,6.747916,-5.102985,-11.540509,-6.437524
Measure V W Resistance,24,3708652371.923541,7.270366,1.733392,12.602391,0.000000,0.000000,0.000000,2.183439,-3.821497,0.230972,6.750754,2.183439,8.015271,0.000000,0.000000,32.461884,33.172326,38.958530,22.818850,23.723198,25.752430,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-6.519782,-1.952466,4.567316,-0.710442,-6.496647,-5.786205
Preparing to measure phase inductance,25,3708652373.035048,1.050252,9.216928,9.680098,0.000000,0.000000,0.000000,5.358935,-3.418027,0.230972,6.750754,5.358935,8.015271,0.000000,0.000000,59.143628,57.639023,54.810430,28.017806,26.536585,25.621643,0.368232,3.804975,67.510904,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-6.519782,-5.127963,1.391819,1.504605,4.333198,2.828593
Set LCR to measure inductance,26,3708652373.035048,1.050252,9.216928,9.680098,0.000000,0.000000,0.000000,5.358935,-3.418027,0.230972,6.750754,5.358935,8.015271,0.000000,0.000000,59.143628,57.639023,54.810430,28.017806,26.536585,25.621643,0.368232,3.804975,67.510904,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-6.519782,-5.127963,1.391819,1.504605,4.333198,2.828593
Preparing to measure inductance between U and V,27,3708652374.239864,4.797600,2.214523,10.624394,0.000000,0.000000,0.000000,9.895073,-1.124348,0.230972,6.750754,5.358935,8.015271,0.000000,9.895073,14.024378,9.380458,3.630932,-0.926275,-3.151979,-5.132258,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.015271,-1.879802,-9.895073,-6.519782,-5.127963,1.391819,4.643920,10.393446,5.749526
Disconnect all LCR Relays,28,3708652374.239864,4.797600,2.214523,10.624394,0.000000,0.000000,0.000000,9.895073,-1.124348,0.230972,6.750754,5.358935,8.015271,0.000000,9.895073,14.024378,9.380458,3.630932,-0.926275,-3.151979,-5.132258,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.015271,-1.879802,-9.895073,-6.519782,-5.127963,1.391819,4.643920,10.393446,5.749526
Wait 2 seconds for relays to settle,29,3708652377.355128,9.633478,0.424945,4.093702,0.000000,0.000000,0.000000,9.136501,-6.485257,0.230972,6.750754,5.358935,8.015271,0.000000,9.136501,-15.449031,-9.362369,-3.716133,0.894599,3.192630,5.730193,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,-1.121230,-9.136501,-6.519782,-5.127963,1.391819,-6.086662,-11.732898,-5.646236
Connect LCR to U and V,30,3708652377.355128,9.633478,0.424945,4.093702,0.000000,0.000000,0.000000,9.136501,-6.485257,0.230972,6.750754,5.358935,8.015271,0.000000,9.136501,-15.449031,-9.362369,-3.716133,0.894599,3.192630,5.730193,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,-1.121230,-9.136501,-6.519782,-5.127963,1.391819,-6.086662,-11.732898,-5.646236
Wait 2 seconds for relays to settle,31,3708652380.374580,1.961619,1.325431,2.599990,0.000000,0.000000,0.000000,5.936253,-4.916266,0.230972,6.750754,5.358935,5.936253,0.000000,10.377278,20.714687,15.824605,9.232479,2.876215,-0.299886,-2.296202,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,5.936253,-4.441025,-10.377278,-6.519782,-5.127963,1.391819,4.890082,11.482208,6.592126
Tare the LCR Meter,32,3708652380.374580,1.961619,1.325431,2.599990,0.000000,0.000000,0.000000,5.936253,-4.916266,0.230972,6.750754,5.358935,5.936253,0.000000,10.377278,20.714687,15.824605,9.232479,2.876215,-0.299886,-2.296202,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,5.936253,-4.441025,-10.377278,-6.519782,-5.127963,1.391819,4.890082,11.482208,6.592126
Measure U V Inductance,33,3708652381.379517,7.899068,1.545331,12.206674,0.000000,0.000000,0.000000,2.140977,2.328527,0.230972,6.750754,5.358935,2.140977,0.000000,10.377278,-36.274304,-38.689480,-42.460709,-23.531625,-25.663843,-26.829464,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,2.140977,-8.236301,-10.377278,-6.519782,-5.127963,1.391819,2.415176,6.186405,3.771229
Preparing to measure inductance between U and W,34,3708652382.183520,2.887476,0.707868,2.043952,0.000000,0.000000,0.000000,-0.597363,0.490146,0.230972,6.750754,5.358935,-0.597363,0.000000,10.377278,-59.003380,-58.978211,-57.684463,-30.693160,-28.603269,-27.946310,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.597363,-10.974641,-10.377278,-6.519782,-5.127963,1.391819,-0.025170,-1.318917,-1.293748
Disconnect all LCR Relays,35,3708652382.183520,2.887476,0.707868,2.043952,0.000000,0.000000,0.000000,-0.597363,0.490146,0.230972,6.750754,5.358935,-0.597363,0.000000,10.377278,-59.003380,-58.978211,-57.684463,-30.693160,-28.603269,-27.946310,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.597363,-10.974641,-10.377278,-6.519782,-5.127963,1.391819,-0.025170,-1.318917,-1.293748
Wait 2 seconds for relays to settle,36,3708652385.193233,9.699999,4.584404,44.468715,0.000000,0.000000,0.000000,5.226788,8.255789,0.230972,6.750754,5.358935,5.226788,0.000000,10.377278,58.256940,57.331277,58.296264,30.850438,30.337276,29.802753,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.226788,-5.150490,-10.377278,-6.519782,-5.127963,1.391819,0.925663,-0.039325,-0.964987
Connect LCR to U and W,37,3708652385.193233,9.699999,4.584404,44.468715,0.000000,0.000000,0.000000,5.226788,8.255789,0.230972,6.750754,5.358935,5.226788,0.000000,10.377278,58.256940,57.331277,58.296264,30.850438,30.337276,29.802753,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.226788,-5.150490,-10.377278,-6.519782,-5.127963,1.391819,0.925663,-0.039325,-0.964987
Wait 2 seconds for relays to settle,38,3708652388.211063,5.357387,0.067067,0.359302,0.000000,0.000000,0.000000,2.588696,8.060800,0.230972,6.750754,5.358935,1.406087,2.588696,10.377278,-56.551791,-57.464279,-58.783210,-30.245515,-29.564960,-28.540434,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-1.182609,-8.971191,-7.788582,-6.519782,-5.127963,1.391819,0.912488,2.231419,1.318932
Tare the LCR Meter,39,3708652388.211063,5.357387,0.067067,0.359302,0.000000,0.000000,0.000000,2.588696,8.060800,0.230972,6.750754,5.358935,1.406087,2.588696,10.377278,-56.551791,-57.464279,-58.783210,-30.245515,-29.564960,-28.540434,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-1.182609,-8.971191,-7.788582,-6.519782,-5.127963,1.391819,0.912488,2.231419,1.318932
Measure U W Inductance,40,3708652389.219584,9.693118,6.559252,63.579607,0.000000,0.000000,0.000000,3.225483,-2.628644,0.230972,6.750754,5.358935,1.406087,3.225483,10.377278,-37.040300,-35.282044,-31.038653,-14.221572,-11.490782,-9.329741,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-1.819396,-8.971191,-7.151795,-6.519782,-5.127963,1.391819,-1.758256,-6.001647,-4.243391
Preparing to measure inductance between V and W,41,3708652390.433962,1.615362,1.388899,2.243576,0.000000,0.000000,0.000000,7.347882,-7.433137,0.230972,6.750754,5.358935,1.406087,7.347882,10.377278,26.915046,32.089507,34.909496,20.482813,22.004874,24.854971,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-5.941795,-8.971191,-3.029396,-6.519782,-5.127963,1.391819,-5.174461,-7.994450,-2.819989
Disconnect all LCR Relays,42,3708652390.433962,1.615362,1.388899,2.243576,0.000000,0.000000,0.000000,7.347882,-7.433137,0.230972,6.750754,5.358935,1.406087,7.347882,10.377278,26.915046,32.089507,34.909496,20.482813,22.004874,24.854971,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-5.941795,-8.971191,-3.029396,-6.519782,-5.127963,1.391819,-5.174461,-7.994450,-2.819989
Wait 2 seconds for relays to settle,43,3708652393.453587,6.057442,1.874305,11.353492,0.000000,0.000000,0.000000,7.023139,1.523334,0.230972,6.750754,5.358935,1.406087,7.023139,10.377278,-23.301653,-28.009760,-33.497967,-18.260286,-21.105361,-23.342279,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,-8.971191,-3.354139,-6.519782,-5.127963,1.391819,4.708107,10.196314,5.488208
Connect LCR to V and W,44,3708652393.453587,6.057442,1.874305,11.353492,0.000000,0.000000,0.000000,7.023139,1.523334,0.230972,6.750754,5.358935,1.406087,7.023139,10.377278,-23.301653,-28.009760,-33.497967,-18.260286,-21.105361,-23.342279,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,-8.971191,-3.354139,-6.519782,-5.127963,1.391819,4.708107,10.196314,5.488208
Wait 2 seconds for relays to settle,45,3708652396.467600,2.333502,9.251010,21.587250,0.000000,0.000000,0.000000,1.981395,0.051205,0.230972,6.750754,5.358935,1.406087,7.023139,1.981395,18.720726,22.629455,24.856011,16.493951,18.646476,19.863685,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,-5.617053,-0.575308,5.041744,-6.519782,-5.127963,1.391819,-3.908730,-6.135285,-2.226555
Tare the LCR Meter,46,3708652396.467600,2.333502,9.251010,21.587250,0.000000,0.000000,0.000000,1.981395,0.051205,0.230972,6.750754,5.358935,1.406087,7.023139,1.981395,18.720726,22.629455,24.856011,16.493951,18.646476,19.863685,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,-5.617053,-0.575308,5.041744,-6.519782,-5.127963,1.391819,-3.908730,-6.135285,-2.226555
Measure V W Inductance,47,3708652397.471730,5.384501,2.263809,12.189481,0.000000,0.000000,0.000000,-0.031905,9.311984,0.230972,6.750754,5.358935,1.406087,7.023139,-0.031905,57.399734,56.916565,56.380502,29.643068,31.040629,29.033480,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,-5.617053,1.437992,7.055045,-6.519782,-5.127963,1.391819,0.483170,1.019232,0.536063
Disconnect all LCR Relays,48,3708652397.571817,7.410891,1.613580,11.958064,0.000000,0.000000,0.000000,-3.073858,7.152437,0.230972,6.750754,5.358935,1.406087,7.023139,-3.073858,58.816649,59.624773,59.666980,29.600734,28.894188,29.660398,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,-5.617053,4.479945,10.096997,-6.519782,-5.127963,1.391819,-0.808125,-0.850332,-0.042207
Preparing to measure Back EMF,49,3708652398.282197,3.789541,0.629730,2.386386,0.000000,0.000000,0.000000,-2.635541,7.535289,0.230972,6.750754,5.358935,1.406087,7.023139,-2.635541,49.315706,44.825809,42.570994,21.273447,17.971837,16.353217,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,4.041628,9.658681,-6.519782,-5.127963,1.391819,4.489897,6.744712,2.254815
Apply 12.5VDC setpoint to Power Supply,50,3708652398.282197,3.789541,0.629730,2.386386,0.000000,0.000000,0.000000,-2.635541,7.535289,0.230972,6.750754,5.358935,1.406087,7.023139,-2.635541,49.315706,44.825809,42.570994,21.273447,17.971837,16.353217,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,4.041628,9.658681,-6.519782,-5.127963,1.391819,4.489897,6.744712,2.254815
Apply 5A limit to Power Supply,51,3708652398.381837,1.491622,5.982409,8.923493,0.000000,0.000000,0.000000,-0.709214,8.271522,0.230972,6.750754,5.358935,1.406087,7.023139,-0.709214,45.682521,43.431690,40.783806,18.280217,16.121407,13.039430,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,2.115300,7.732353,-6.519782,-5.127963,1.391819,2.250831,4.898715,2.647884
Set Power Supply Output Enabled,52,3708652398.381837,1.491622,5.982409,8.923493,0.000000,0.000000,0.000000,-0.709214,8.271522,0.230972,6.750754,5.358935,1.406087,7.023139,-0.709214,45.682521,43.431690,40.783806,18.280217,16.121407,13.039430,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,2.115300,7.732353,-6.519782,-5.127963,1.391819,2.250831,4.898715,2.647884
Set PWM Duty Cycle to 10%,53,3708652398.381837,1.491622,5.982409,8.923493,0.000000,0.000000,0.000000,-0.709214,8.271522,0.230972,6.750754,5.358935,1.406087,7.023139,-0.709214,45.682521,43.431690,40.783806,18.280217,16.121407,13.039430,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,2.115300,7.732353,-6.519782,-5.127963,1.391819,2.250831,4.898715,2.647884
Dwell at 10% Duty Cycle,54,3708652399.387722,2.230614,0.879428,1.961666,12.500000,5.000000,1.000000,2.362139,14.394654,0.230972,6.750754,5.358935,1.406087,7.023139,2.362139,-6.760669,-10.970407,-15.564238,-11.051413,-13.782025,-15.085001,0.000000,0.000000,Inf,10.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,-0.956052,4.661000,-6.519782,-5.127963,1.391819,4.209738,8.803568,4.593830
Set PWM Duty Cycle to 20%,55,3708652399.387722,2.230614,0.879428,1.961666,12.500000,5.000000,1.000000,2.362139,14.394654,0.230972,6.750754,5.358935,1.406087,7.023139,2.362139,-6.760669,-10.970407,-15.564238,-11.051413,-13.782025,-15.085001,0.000000,0.000000,Inf,10.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,-0.956052,4.661000,-6.519782,-5.127963,1.391819,4.209738,8.803568,4.593830
Dwell at 20% Duty Cycle,56,3708652400.394609,2.649868,2.931070,7.766947,12.500000,5.000000,1.000000,1.978578,14.431112,0.230972,6.750754,5.358935,1.406087,7.023139,1.978578,-51.656988,-55.073515,-57.129911,-30.317655,-29.315298,-31.176807,0.000000,0.000000,Inf,20.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,-5.617053,-0.572491,5.044562,-6.519782,-5.127963,1.391819,3.416527,5.472923,2.056396
